	HC22	HC140	HC3	HC152	HC158	HC155	HC75	HC91	HC72	TA1	TA54	HC137	TA13	HC66	TA75	TA79	TA66	HC55	TA26	HC78	HC49	TA42	HC5	TA32	TA6	HC85	TA30	HC81	HC118	HC33	HC144	TA60	HC26	HC62	HC129	HC104	HC2	HC9	HC111	HC100	HC132	TA36	TA50	HC121	TA28	HC37	TA16	TA46	TA23	HC16	HC124	HC89	TA38	HC108	HC1	TA57	HC115	HC52	HC69	TA72	HC96	HC149	HC6	TA63	HC23	TA47	HC133	HC56	TA29	TA73	TA76	HC63	TA58	HC92	TA39	HC40	TA43	HC79	HC86	HC82	HC141	HC145	TA27	HC20	TA7	HC156	TA51	TA37	HC125	HC24	HC57	TA70	TA17	HC12	HC4	TA67	HC44	TA48	TA24	HC70	TA77	HC17	HC159	HC25	HC45	HC142	HC64	TA20	HC7	HC58	HC76	TA55	TA33	HC30	TA44	HC119	HC105	HC116	TA80	TA64	HC138	HC112	TA10	HC93	TA14	TA31	HC27	TA59	TA68	TA3	TA25	HC67	HC8	HC15	HC34	TA18	HC38	TA8	HC50	TA78	TA61	TA21	HC126	TA74	HC46	HC60	HC59	TA52	TA49	HC130	TA34	HC134	HC90	TA2	TA56	TA65	HC73	TA45	HC68	HC153	HC65	HC28	TA71	HC41	HC61	TA40	HC21	HC83	HC18	HC143	HC77	TA11	TA4	TA35	HC11	HC35	HC94	HC135	HC47	HC80	HC127	HC117	HC29	HC139	HC109	HC157	HC53	TA53	TA15	HC84	TA5	HC146	TA19	TA62	HC71	HC160	HC113	HC14	HC136	TA41	HC74	HC39	HC106	TA22	HC120	HC97	HC128	HC19	TA9	TA12	HC131	TA69	HC42	HC51	HC48	HC95	HC36	HC122	HC87	HC54	HC114	HC147	HC13	HC98	HC31	HC10	HC43	HC107	HC150	HC148	HC123	HC110	HC151	HC32	HC99	HC88	HC154	HC101	HC102	HC103
HC128	0.676686	0.695421	0.525056	0.697549	0.849385	0.848116	0.885296	0.886577	0.678634	0.78011	0.816807	0.737924	0.816515	0.839515	0.789291	0.678497	0.821194	0.841251	0.716423	0.698337	0.810177	0.82615	0.851078	0.731031	0.842099	0.857861	0.897722	0.69725	0.741998	0.879597	0.484895	0.700134	0.878454	0.849477	0.758119	0.799912	0.557904	0.625563	0.612525	0.761026	0.161975	0.794055	0.638385	0.694766	0.70912	0.792645	0.766597	0.850763	0.824826	0.605707	0.721503	0.664115	0.894169	0.414167	0.496311	0.838974	0.539575	0.572804	0.737894	0.875883	0.678307	0.802428	0.695237	0.7644	0.736255	0.771972	0.877661	0.763539	0.837406	0.718577	0.646585	0.562569	0.778232	0.798105	0.867451	0.621534	0.785884	0.78315	0.853107	0.823389	0.705631	0.461026	0.81725	0.711542	0.719653	0.673292	0.824163	0.848325	0.562589	0.512356	0.796759	0.807023	0.852512	0.495113	0.584566	0.579361	0.693285	0.790385	0.790113	0.775639	0.846637	0.804215	0.667147	0.690887	0.530755	0.779253	0.780007	0.71925	0.48701	0.621193	0.474401	0.855043	0.701028	0.723545	0.687113	0.601955	0.729175	0.413875	0.725822	0.912638	0.549346	0.827503	0.80271	0.574912	0.748325	0.821893	0.624087	0.59565	0.747727	0.834603	0.789627	0.790067	0.794018	0.580615	0.858739	0.812894	0.667307	0.703113	0.799745	0.682189	0.82519	0.825557	0.753852	0.769163	0.465417	0.785778	0.864799	0.860733	0.765339	0.471146	0.88963	0.539119	0.808922	0.861431	0.681404	0.801546	0.563032	0.919413	0.840772	0.783386	0.84914	0.805686	0.803449	0.883918	0.852102	0.695269	0.782279	0.866648	0.563714	0.64778	0.74171	0.8124	0.786352	0.813935	0.758074	0.81107	0.727315	0.820441	0.797521	0.843193	0.576873	0.884957	0.879808	0.746624	0.778635	0.782899	0.784801	0.877276	0.76783	0.511444	0.714291	0.563761	0.831781	0.699436	0.837935	0.568586	0.407033	0.706091	0.873274	0.809946	0.807585	0.802699	0.635372	0.849886	0.764508	0.601109	0.0	0.795813	0.839442	0.860542	0.832902	0.745029	0.562127	0.801513	0.820739	0.696133	0.712523	0.729695	0.828563	0.416522	0.738466	0.874377	0.755281	0.803096	0.727942	0.774721	0.597301	0.842091	0.598214	0.722084	0.560471	0.5904	0.683235	0.723205	0.798895	0.783628	0.808668	0.786935	0.548405	0.707028
HC19	0.675809	0.610817	0.670108	0.634104	0.795537	0.852736	0.778059	0.758599	0.697823	0.735802	0.804009	0.542543	0.63043	0.654382	0.660884	0.626462	0.657183	0.854552	0.700246	0.534626	0.593089	0.876129	0.718463	0.614767	0.894832	0.750703	0.887083	0.774342	0.682601	0.840324	0.775606	0.807844	0.839831	0.757108	0.842785	0.57823	0.786322	0.699665	0.788547	0.684831	0.7941	0.772029	0.598689	0.633143	0.819828	0.773379	0.794101	0.855794	0.849463	0.729204	0.824063	0.637077	0.92685	0.727334	0.827007	0.889514	0.818088	0.780357	0.63188	0.919294	0.781726	0.812836	0.65827	0.877587	0.912202	0.876145	0.741899	0.644773	0.640165	0.722393	0.710654	0.631615	0.870334	0.774582	0.884319	0.685177	0.716149	0.645875	0.63739	0.642299	0.659197	0.716749	0.849544	0.629353	0.745199	0.696786	0.912499	0.919638	0.717925	0.732083	0.591934	0.848964	0.928444	0.83921	0.758448	0.628516	0.518926	0.856694	0.761805	0.730704	0.827651	0.70673	0.67036	0.49228	0.708536	0.685393	0.657156	0.724507	0.514421	0.500375	0.863694	0.871204	0.675887	0.474425	0.658151	0.820157	0.650883	0.835275	0.80007	0.917487	0.638628	0.738326	0.885698	0.70425	0.608517	0.740182	0.816239	0.674081	0.782219	0.682743	0.868927	0.494647	0.756843	0.69559	0.861763	0.694038	0.6832	0.839916	0.884612	0.780522	0.88419	0.629336	0.612665	0.726026	0.835914	0.766611	0.707377	0.942379	0.737202	0.735988	0.894618	0.702427	0.7273	0.717794	0.856079	0.804396	0.585134	0.795646	0.829727	0.896503	0.746981	0.652438	0.684724	0.662736	0.713811	0.613709	0.731978	0.623513	0.60094	0.524935	0.675208	0.482468	0.937212	0.888907	0.851861	0.695488	0.612053	0.602726	0.748174	0.654038	0.713127	0.809587	0.72493	0.69602	0.800394	0.49897	0.525615	0.884501	0.658634	0.752568	0.580977	0.70521	0.725937	0.893365	0.82616	0.637771	0.751083	0.829278	0.716062	0.664423	0.851762	0.505603	0.689412	0.68257	0.83459	0.68403	0.795813	0.0	0.799911	0.728898	0.86067	0.540883	0.619891	0.694475	0.899982	0.744612	0.435705	0.78272	0.827403	0.694773	0.646473	0.681057	0.670792	0.82466	0.774077	0.638947	0.65044	0.829411	0.817537	0.77187	0.8657	0.71587	0.844225	0.838011	0.67121	0.699721	0.677941	0.853501	0.559101	0.623076
TA9	0.623556	0.67812	0.781284	0.724626	0.449513	0.457682	0.421716	0.693249	0.66829	0.481186	0.613327	0.693317	0.55698	0.726415	0.578104	0.605219	0.798261	0.579977	0.567447	0.603721	0.723138	0.52644	0.784158	0.710695	0.630533	0.576839	0.64169	0.589839	0.648069	0.447395	0.736148	0.506018	0.605627	0.688395	0.523306	0.715848	0.785874	0.625183	0.677628	0.765745	0.8691	0.660761	0.736875	0.825757	0.544422	0.705821	0.450884	0.622137	0.506458	0.759469	0.70917	0.777377	0.645697	0.726863	0.80018	0.628299	0.652767	0.749154	0.721567	0.568356	0.75321	0.702922	0.69081	0.683745	0.784915	0.646922	0.82931	0.635104	0.757359	0.64341	0.717427	0.755357	0.624016	0.683745	0.510801	0.762083	0.574081	0.73786	0.670767	0.55764	0.736323	0.780024	0.566338	0.612988	0.36664	0.539235	0.683563	0.601836	0.71835	0.797107	0.52607	0.513763	0.655902	0.756703	0.70726	0.580011	0.859643	0.707217	0.624808	0.679879	0.52556	0.502766	0.745335	0.707768	0.651197	0.571804	0.610141	0.590295	0.808706	0.772654	0.80848	0.58348	0.517908	0.81652	0.486269	0.726478	0.785687	0.802883	0.501736	0.590244	0.732731	0.794472	0.691687	0.773858	0.697619	0.624115	0.687418	0.640234	0.576724	0.801554	0.621994	0.760031	0.426155	0.696391	0.51444	0.580849	0.676758	0.68189	0.787834	0.622208	0.555529	0.778967	0.771105	0.597451	0.729107	0.541287	0.659745	0.721052	0.699144	0.73455	0.570457	0.803411	0.511099	0.707094	0.605767	0.642978	0.776376	0.712205	0.464205	0.773353	0.8124	0.530813	0.535856	0.821434	0.422856	0.635468	0.693471	0.776219	0.772812	0.633806	0.746377	0.612327	0.745735	0.619678	0.656115	0.745299	0.772138	0.638758	0.541713	0.382697	0.658639	0.459212	0.828763	0.63376	0.649992	0.821369	0.824815	0.537422	0.641876	0.764008	0.711549	0.826565	0.408659	0.816275	0.494423	0.673205	0.784754	0.729041	0.492354	0.531337	0.812194	0.706204	0.735051	0.771619	0.742056	0.705502	0.839442	0.799911	0.0	0.67245	0.68285	0.62306	0.672146	0.758877	0.801434	0.785875	0.706477	0.685211	0.397305	0.802687	0.735029	0.426856	0.658055	0.510249	0.732639	0.736033	0.708392	0.474203	0.581048	0.791812	0.8052	0.697467	0.781645	0.818036	0.61922	0.547048	0.688963	0.708454	0.82235	0.646996
TA12	0.693344	0.629379	0.76495	0.633597	0.699041	0.805256	0.664099	0.515745	0.74393	0.628453	0.649085	0.58331	0.449747	0.600544	0.552988	0.61311	0.484819	0.753015	0.613551	0.682555	0.617668	0.74655	0.708521	0.63262	0.79064	0.5371	0.714433	0.751968	0.713427	0.774486	0.763667	0.709862	0.704545	0.569091	0.718694	0.689463	0.828585	0.725491	0.787297	0.72503	0.88223	0.67825	0.629759	0.827266	0.709444	0.723601	0.625393	0.728187	0.710229	0.811581	0.801277	0.798638	0.794191	0.735476	0.840051	0.766884	0.808933	0.805344	0.77608	0.76713	0.809832	0.763514	0.699038	0.82089	0.882368	0.727938	0.745585	0.620689	0.551945	0.662277	0.686783	0.737187	0.811234	0.750587	0.707502	0.784492	0.579397	0.530285	0.535278	0.622756	0.728694	0.830539	0.694456	0.517023	0.723811	0.684546	0.770436	0.787808	0.727635	0.75182	0.682673	0.664162	0.801511	0.833073	0.764429	0.711406	0.871802	0.751662	0.581603	0.550326	0.673681	0.734951	0.774248	0.639605	0.742221	0.589446	0.836031	0.62936	0.808498	0.660641	0.875715	0.720258	0.718175	0.78602	0.624421	0.843504	0.766149	0.837933	0.769198	0.739461	0.753266	0.794755	0.792613	0.805966	0.51901	0.248388	0.801676	0.62952	0.693717	0.772857	0.736015	0.593057	0.669575	0.738149	0.821481	0.465172	0.558719	0.796452	0.850832	0.710786	0.70768	0.566215	0.682629	0.544649	0.818436	0.740894	0.440217	0.840333	0.519325	0.790592	0.692265	0.805012	0.685637	0.70946	0.7369	0.600945	0.723692	0.384279	0.642544	0.861493	0.75679	0.62008	0.574553	0.547615	0.621314	0.446834	0.73349	0.689792	0.810176	0.586707	0.658121	0.594246	0.853439	0.787195	0.797992	0.710136	0.758386	0.616534	0.674504	0.586544	0.769618	0.725734	0.595534	0.711582	0.792305	0.827488	0.80459	0.699205	0.550538	0.837095	0.475354	0.789624	0.687481	0.89287	0.839815	0.658334	0.80521	0.845934	0.665079	0.469428	0.826388	0.6672	0.760455	0.619028	0.824971	0.782298	0.860542	0.728898	0.67245	0.0	0.805898	0.595438	0.758769	0.757851	0.866127	0.757763	0.648132	0.761434	0.793834	0.778625	0.738086	0.710611	0.643911	0.790488	0.774163	0.668007	0.723049	0.835821	0.799806	0.805422	0.850125	0.810552	0.805667	0.872581	0.732648	0.692461	0.667883	0.844937	0.826784	0.586843
HC131	0.529102	0.661197	0.841457	0.793794	0.531276	0.70448	0.667309	0.753862	0.525266	0.592144	0.729112	0.60754	0.652267	0.684239	0.602082	0.535528	0.869673	0.605535	0.594312	0.681919	0.678571	0.677806	0.764654	0.51624	0.661838	0.631018	0.711636	0.642499	0.451464	0.670743	0.759128	0.682792	0.801348	0.652318	0.649037	0.686824	0.677002	0.635282	0.614423	0.583084	0.87947	0.384768	0.698784	0.530525	0.715909	0.460517	0.566742	0.645183	0.695402	0.417285	0.672705	0.737139	0.749338	0.801103	0.682157	0.668974	0.60276	0.378744	0.578517	0.744195	0.341342	0.230087	0.541173	0.677604	0.678309	0.720261	0.424268	0.545003	0.62354	0.666864	0.557766	0.668101	0.714921	0.265891	0.746321	0.547275	0.571701	0.587965	0.762719	0.691619	0.473028	0.831273	0.66588	0.616476	0.596992	0.620486	0.754733	0.757026	0.720468	0.529492	0.753981	0.733407	0.746176	0.712526	0.640838	0.668146	0.668061	0.68691	0.354612	0.667131	0.80582	0.643207	0.74714	0.600317	0.638024	0.516173	0.788286	0.617196	0.854935	0.795638	0.864944	0.791813	0.610132	0.861784	0.531265	0.449123	0.370926	0.808092	0.569258	0.711612	0.613036	0.789951	0.667112	0.813748	0.585498	0.746148	0.650037	0.65837	0.583671	0.441753	0.745969	0.628452	0.438879	0.730936	0.634978	0.70675	0.737744	0.766255	0.697814	0.651717	0.730635	0.782222	0.533294	0.660759	0.780608	0.315545	0.658677	0.811579	0.622651	0.763645	0.800157	0.683817	0.420267	0.81635	0.737273	0.788827	0.761967	0.846809	0.627806	0.660856	0.741485	0.559767	0.665605	0.900325	0.538307	0.716398	0.386809	0.835073	0.762715	0.645068	0.57542	0.753283	0.689805	0.748744	0.688152	0.648965	0.596375	0.546812	0.564944	0.651448	0.616081	0.73552	0.718007	0.445439	0.466565	0.625876	0.639869	0.785454	0.573944	0.78261	0.820132	0.866654	0.782844	0.748174	0.63748	0.645253	0.760864	0.684332	0.766621	0.614216	0.341154	0.653473	0.728103	0.445702	0.644326	0.61305	0.832902	0.86067	0.68285	0.805898	0.0	0.752082	0.573083	0.652001	0.713294	0.679269	0.711147	0.648834	0.58838	0.718837	0.54578	0.696204	0.416028	0.582855	0.80708	0.673593	0.669014	0.711523	0.563797	0.331223	0.770835	0.548248	0.717143	0.649367	0.499073	0.551172	0.466394	0.623815	0.863894	0.678931
TA69	0.63561	0.485819	0.517795	0.547002	0.612176	0.710375	0.566698	0.464865	0.706741	0.554953	0.743983	0.508498	0.417	0.508152	0.459437	0.414998	0.435991	0.834001	0.520096	0.265333	0.45407	0.790875	0.69334	0.523541	0.845834	0.625873	0.82503	0.595075	0.588604	0.657844	0.72149	0.748677	0.808042	0.672395	0.734084	0.436405	0.695142	0.552219	0.725472	0.600007	0.76542	0.71714	0.428192	0.628421	0.737546	0.771645	0.676791	0.804366	0.813458	0.706703	0.767711	0.562747	0.878228	0.614259	0.732506	0.835462	0.703937	0.771579	0.595069	0.876073	0.792472	0.754837	0.548379	0.83044	0.881997	0.795188	0.665899	0.600557	0.524891	0.61987	0.580208	0.487944	0.804405	0.700274	0.822243	0.581754	0.65099	0.553857	0.380182	0.389041	0.524566	0.583505	0.804527	0.470289	0.56983	0.522494	0.8537	0.864362	0.647867	0.716632	0.444395	0.779507	0.88931	0.779812	0.641405	0.421856	0.753406	0.760472	0.699717	0.645269	0.785594	0.468257	0.627243	0.464795	0.611989	0.629878	0.483856	0.659643	0.542056	0.426088	0.82359	0.827684	0.47465	0.552092	0.492384	0.82996	0.612996	0.735324	0.596404	0.875166	0.663372	0.654689	0.832634	0.519338	0.461869	0.588987	0.791124	0.55609	0.71322	0.678139	0.807892	0.40638	0.56632	0.611569	0.715941	0.595426	0.599723	0.784532	0.829019	0.689495	0.805107	0.502861	0.525342	0.605615	0.753768	0.630558	0.510238	0.933346	0.625318	0.650706	0.837104	0.691348	0.580713	0.66001	0.769923	0.734292	0.583683	0.691161	0.757155	0.876538	0.672776	0.483533	0.568854	0.520927	0.506911	0.438519	0.71288	0.532731	0.539374	0.373255	0.53989	0.301519	0.871983	0.854603	0.83256	0.632522	0.511207	0.428017	0.645578	0.460855	0.66481	0.565323	0.624464	0.597134	0.749987	0.577647	0.626603	0.805209	0.455148	0.709996	0.321345	0.581874	0.558944	0.841456	0.683837	0.584912	0.711811	0.746694	0.454217	0.511042	0.857439	0.413528	0.614052	0.621703	0.815607	0.572574	0.745029	0.540883	0.62306	0.595438	0.752082	0.0	0.539349	0.658813	0.829645	0.714148	0.295967	0.776051	0.677743	0.610815	0.615246	0.487162	0.639458	0.677762	0.712237	0.575341	0.470514	0.659058	0.681167	0.767359	0.84719	0.726127	0.734888	0.850491	0.69723	0.583391	0.615152	0.792903	0.515806	0.494989
HC42	0.534125	0.428349	0.502168	0.594544	0.700823	0.694868	0.729511	0.666921	0.526428	0.604315	0.758207	0.534479	0.590054	0.640812	0.579491	0.399603	0.668128	0.728494	0.560784	0.474263	0.539244	0.79373	0.756324	0.375126	0.825455	0.72393	0.828782	0.661837	0.356528	0.714927	0.616018	0.706447	0.814569	0.763574	0.668286	0.479841	0.582116	0.586148	0.649835	0.431725	0.610957	0.553755	0.470979	0.333848	0.727046	0.573178	0.612499	0.785483	0.795539	0.406096	0.704994	0.581344	0.874033	0.623094	0.732266	0.806695	0.53347	0.460432	0.580533	0.849992	0.509617	0.523607	0.418569	0.77721	0.845318	0.787402	0.565428	0.551448	0.481206	0.682874	0.533351	0.468091	0.780923	0.489888	0.815862	0.501648	0.541141	0.548893	0.547506	0.542943	0.367292	0.478364	0.772082	0.570546	0.583181	0.539554	0.835235	0.851505	0.585424	0.401296	0.526126	0.753952	0.879518	0.683497	0.564868	0.349837	0.464328	0.798125	0.571343	0.726224	0.819558	0.556019	0.590665	0.518367	0.563669	0.569512	0.49367	0.669108	0.465837	0.587477	0.766597	0.802826	0.519976	0.498892	0.389178	0.460632	0.420941	0.63805	0.662673	0.860789	0.37106	0.631404	0.804664	0.415362	0.500213	0.739906	0.706225	0.589219	0.68319	0.481273	0.790357	0.456271	0.499059	0.610145	0.74542	0.681625	0.67544	0.72044	0.797084	0.670563	0.801525	0.541301	0.411849	0.689211	0.659541	0.471432	0.64126	0.887696	0.583625	0.621937	0.848256	0.516579	0.491941	0.668434	0.755946	0.741876	0.43278	0.845059	0.762847	0.835051	0.606128	0.61181	0.574717	0.700397	0.633967	0.586338	0.535042	0.601148	0.651545	0.331005	0.506064	0.526986	0.851371	0.829056	0.770474	0.586898	0.358574	0.37227	0.61223	0.634799	0.470356	0.671822	0.620866	0.373504	0.557424	0.419082	0.427528	0.805926	0.402133	0.602748	0.531387	0.610037	0.643214	0.828372	0.688259	0.523251	0.598296	0.733826	0.632372	0.629717	0.635411	0.519826	0.504646	0.59121	0.740421	0.40769	0.562127	0.619891	0.672146	0.758769	0.573083	0.539349	0.0	0.489641	0.80666	0.685405	0.521654	0.679737	0.668197	0.542761	0.418282	0.611693	0.495333	0.656668	0.677837	0.549646	0.447537	0.624465	0.507137	0.514977	0.66769	0.361377	0.76192	0.762507	0.508915	0.550633	0.518709	0.769604	0.531228	0.599016
HC51	0.550602	0.468452	0.420643	0.515484	0.714579	0.782681	0.81758	0.722667	0.637506	0.657971	0.721023	0.603892	0.65565	0.420448	0.670294	0.540911	0.544072	0.738526	0.682487	0.604227	0.438149	0.792514	0.763487	0.465619	0.82394	0.763256	0.807619	0.708557	0.481889	0.792358	0.787169	0.715349	0.779639	0.749315	0.781641	0.416923	0.729908	0.683012	0.704704	0.275803	0.825913	0.575118	0.491094	0.562227	0.756122	0.61107	0.667867	0.775285	0.773388	0.534311	0.766817	0.742391	0.856315	0.695793	0.77863	0.80928	0.770145	0.5728	0.61213	0.849827	0.591239	0.632287	0.475032	0.810206	0.853872	0.793242	0.582146	0.533355	0.518372	0.664982	0.536105	0.645174	0.79481	0.561389	0.80581	0.548064	0.579052	0.571117	0.499098	0.539372	0.42032	0.787409	0.791309	0.621194	0.702548	0.660092	0.83913	0.847799	0.742067	0.591312	0.497306	0.772069	0.864712	0.77713	0.670618	0.606255	0.686163	0.780045	0.585048	0.744593	0.747294	0.488687	0.727023	0.621776	0.68424	0.570668	0.509579	0.674491	0.630725	0.687692	0.840946	0.826091	0.653814	0.509773	0.554666	0.620401	0.493733	0.791344	0.735388	0.856164	0.59929	0.441885	0.810153	0.515731	0.511543	0.761148	0.757037	0.585122	0.683011	0.503529	0.788397	0.47793	0.561725	0.66738	0.8301	0.660616	0.747173	0.790219	0.810298	0.720633	0.798079	0.410209	0.399202	0.669481	0.801453	0.571498	0.691475	0.906792	0.588959	0.738931	0.841473	0.721347	0.572614	0.712307	0.780543	0.771416	0.640673	0.789123	0.746585	0.844071	0.440242	0.624449	0.610633	0.52987	0.68729	0.653317	0.537893	0.547982	0.604561	0.460286	0.567358	0.568065	0.863239	0.826475	0.786096	0.44848	0.306492	0.377719	0.689476	0.65367	0.594231	0.743741	0.415525	0.483454	0.601352	0.494194	0.466759	0.823931	0.48168	0.779452	0.621086	0.429011	0.778605	0.842891	0.803427	0.623808	0.713399	0.772144	0.565726	0.674455	0.697967	0.610088	0.659555	0.599366	0.794536	0.609914	0.801513	0.694475	0.758877	0.757851	0.652001	0.658813	0.489641	0.0	0.83143	0.704518	0.595561	0.733956	0.751167	0.621568	0.365816	0.622383	0.508505	0.784973	0.740228	0.503965	0.50108	0.719906	0.752212	0.590264	0.838482	0.612596	0.787379	0.784892	0.578683	0.666947	0.512169	0.772315	0.649489	0.674422
HC48	0.556146	0.792541	0.818586	0.734071	0.63149	0.884486	0.829746	0.894776	0.516774	0.729083	0.538711	0.663861	0.668007	0.750945	0.628804	0.805761	0.901648	0.490635	0.628308	0.758745	0.770227	0.525927	0.601694	0.853508	0.45454	0.589115	0.669898	0.501283	0.616485	0.830005	0.684389	0.55075	0.589464	0.434633	0.628234	0.856005	0.44374	0.602139	0.444512	0.815507	0.862162	0.594857	0.811865	0.896105	0.600116	0.536665	0.645511	0.462885	0.618661	0.712003	0.304961	0.541029	0.50572	0.727144	0.546309	0.512337	0.552929	0.67778	0.542851	0.582597	0.699948	0.78233	0.666439	0.382876	0.316159	0.540722	0.930838	0.560767	0.894037	0.535927	0.649348	0.638138	0.456646	0.670688	0.595784	0.654402	0.698602	0.704619	0.888974	0.849379	0.719348	0.838067	0.570978	0.69761	0.593381	0.709333	0.548266	0.635178	0.559992	0.789251	0.929971	0.609588	0.664982	0.614354	0.455642	0.856057	0.889955	0.499254	0.752962	0.523208	0.675163	0.76849	0.676635	0.679558	0.539001	0.636686	0.92761	0.62019	0.823349	0.775759	0.787334	0.608636	0.662816	0.869673	0.803499	0.563517	0.769289	0.746729	0.538902	0.580067	0.735458	0.809779	0.446993	0.855698	0.778303	0.779315	0.510377	0.664872	0.485736	0.942423	0.58483	0.771599	0.69497	0.727771	0.791266	0.712814	0.707304	0.651809	0.134725	0.578212	0.602754	0.903537	0.792785	0.662976	0.569933	0.648667	0.735915	0.579832	0.787976	0.611657	0.721337	0.649637	0.850026	0.886667	0.58812	0.740483	0.836387	0.841724	0.560478	0.398354	0.892159	0.57813	0.765064	0.908946	0.640728	0.813644	0.560785	0.900274	0.75835	0.773149	0.660254	0.91673	0.591952	0.540773	0.42813	0.673791	0.852145	0.862579	0.439446	0.79294	0.669095	0.895007	0.902892	0.61152	0.66321	0.860285	0.916855	0.646495	0.848988	0.679471	0.862814	0.824289	0.895219	0.505291	0.802823	0.548218	0.688444	0.509533	0.937967	0.651034	0.775123	0.792857	0.521073	0.909802	0.475821	0.65581	0.820739	0.899982	0.801434	0.866127	0.713294	0.829645	0.80666	0.83143	0.0	0.367512	0.816944	0.345477	0.75714	0.706134	0.605453	0.859438	0.524951	0.763712	0.71155	0.566793	0.727602	0.899224	0.567814	0.587634	0.690144	0.745442	0.476214	0.30387	0.623302	0.454641	0.653256	0.483534	0.814442	0.609899
HC95	0.51703	0.570162	0.643481	0.542237	0.618242	0.832867	0.707556	0.820311	0.355876	0.604267	0.717945	0.541431	0.600178	0.638485	0.597736	0.620523	0.726501	0.681464	0.58866	0.60191	0.582939	0.65181	0.500829	0.697375	0.614118	0.635764	0.746242	0.622918	0.499587	0.773898	0.641437	0.605039	0.753697	0.452929	0.727957	0.694026	0.391052	0.553121	0.514191	0.655041	0.709086	0.478996	0.649991	0.768482	0.649721	0.501671	0.701712	0.638349	0.672235	0.610305	0.377538	0.469334	0.781185	0.625086	0.471276	0.636743	0.661856	0.619562	0.494545	0.777109	0.624509	0.697128	0.594062	0.576741	0.422674	0.66202	0.828444	0.500603	0.778949	0.469349	0.588956	0.500481	0.697775	0.572136	0.750101	0.532889	0.694449	0.534884	0.771347	0.711495	0.520922	0.740801	0.657412	0.593285	0.645881	0.622419	0.719743	0.753206	0.550031	0.58816	0.771223	0.766333	0.746711	0.588167	0.368281	0.685605	0.790023	0.585389	0.664765	0.512302	0.708983	0.625343	0.562363	0.519417	0.446836	0.604724	0.808251	0.578624	0.638015	0.587963	0.711267	0.77649	0.644056	0.67305	0.674899	0.598651	0.565885	0.682384	0.557814	0.719074	0.56017	0.712927	0.666568	0.719979	0.631571	0.701894	0.441719	0.573559	0.523663	0.803768	0.66538	0.620728	0.630885	0.639932	0.626337	0.699724	0.521159	0.691176	0.359195	0.595283	0.721365	0.767396	0.643839	0.567462	0.588041	0.54312	0.633964	0.810333	0.627429	0.552383	0.764618	0.475818	0.698601	0.700395	0.678017	0.651692	0.613734	0.827627	0.664428	0.531928	0.797185	0.515386	0.641153	0.79096	0.664585	0.652111	0.462945	0.696748	0.66665	0.627526	0.526382	0.777885	0.666995	0.713798	0.653676	0.546275	0.698254	0.7335	0.448907	0.679683	0.52404	0.821541	0.793682	0.495091	0.669313	0.750412	0.695334	0.748039	0.752324	0.624353	0.745683	0.676355	0.796304	0.679167	0.692804	0.418153	0.595622	0.537551	0.829635	0.574314	0.670555	0.561454	0.38937	0.807139	0.545473	0.592128	0.696133	0.744612	0.785875	0.757763	0.679269	0.714148	0.685405	0.704518	0.367512	0.0	0.683787	0.381199	0.71063	0.563915	0.458128	0.748774	0.50487	0.654579	0.641552	0.426686	0.53104	0.829577	0.677797	0.484775	0.635834	0.701278	0.402827	0.295854	0.627909	0.425532	0.535208	0.560861	0.651601	0.592682
